month,scene,zone,metric,value,cloud
2020-01,S2A_48NUG_20200126_0_L2A,west_cargo,pairdiff,2127784.0,0.04101010101010101
2020-01,S2A_48NUG_20200126_0_L2A,east_cargo,pairdiff,1788275.0,0.027990750882317148
2020-01,S2A_48NUG_20200126_0_L2A,pax_t123,pairdiff,,0.3037989479836353
2020-01,S2A_48NUG_20200126_0_L2A,pax_t4,pairdiff,5689548.0,0.06515606515606516
2020-01,S2A_48NUG_20200126_0_L2A,airfield,pairdiff,62613560.0,0.07532966251498466
2020-02,S2A_48NUG_20200205_0_L2A,west_cargo,stock_bright,1632.0,0.25181818181818183
2020-02,S2A_48NUG_20200205_0_L2A,east_cargo,stock_bright,1746.0,0.34562492393817695
2020-02,S2A_48NUG_20200205_0_L2A,pax_t123,stock_bright,1752.0,0.3159166179622053
2020-02,S2A_48NUG_20200205_0_L2A,pax_t4,stock_bright,2576.0,0.06479206479206479
2020-02,S2A_48NUG_20200205_0_L2A,airfield,stock_bright,1444.0,0.1447975293089786
2020-02,S2A_48NUG_20200225_0_L2A,west_cargo,stock_bright,1628.0,0.2639393939393939
2020-02,S2A_48NUG_20200225_0_L2A,east_cargo,stock_bright,1742.0,0.35511743945478885
2020-02,S2A_48NUG_20200225_0_L2A,pax_t123,stock_bright,1786.0,0.30687706993960645
2020-02,S2A_48NUG_20200225_0_L2A,pax_t4,stock_bright,2406.0,0.1406861406861407
2020-02,S2A_48NUG_20200225_0_L2A,airfield,stock_bright,1344.0,0.13786902899404677
2020-02,S2A_48NUG_20200225_0_L2A,west_cargo,pairdiff,1936062.0,0.2639393939393939
2020-02,S2A_48NUG_20200225_0_L2A,east_cargo,pairdiff,,0.35511743945478885
2020-02,S2A_48NUG_20200225_0_L2A,pax_t123,pairdiff,,0.3159166179622053
2020-02,S2A_48NUG_20200225_0_L2A,pax_t4,pairdiff,7585741.0,0.1406861406861407
2020-02,S2A_48NUG_20200225_0_L2A,airfield,pairdiff,54997088.0,0.1447975293089786
2020-02,S2A_48NUG_20200225_1_L2A,west_cargo,stock_bright,1554.0,0.0
2020-02,S2A_48NUG_20200225_1_L2A,east_cargo,stock_bright,1656.0,0.0
2020-02,S2A_48NUG_20200225_1_L2A,pax_t123,stock_bright,1704.0,0.0
2020-02,S2A_48NUG_20200225_1_L2A,pax_t4,stock_bright,2366.0,0.004368004368004368
2020-02,S2A_48NUG_20200225_1_L2A,airfield,stock_bright,1292.0,0.006694841213401873
2020-02,S2A_48NUG_20200225_1_L2A,west_cargo,pairdiff,2239466.0,0.2639393939393939
2020-02,S2A_48NUG_20200225_1_L2A,east_cargo,pairdiff,,0.35511743945478885
2020-02,S2A_48NUG_20200225_1_L2A,pax_t123,pairdiff,,0.30687706993960645
2020-02,S2A_48NUG_20200225_1_L2A,pax_t4,pairdiff,1928198.0,0.1406861406861407
2020-02,S2A_48NUG_20200225_1_L2A,airfield,pairdiff,36585672.0,0.13786902899404677
2020-05,S2A_48NUG_20200505_0_L2A,west_cargo,stock_bright,1638.0,0.35
2020-05,S2A_48NUG_20200505_0_L2A,east_cargo,stock_bright,1686.0,0.38700255567725445
2020-05,S2A_48NUG_20200505_0_L2A,pax_t123,stock_bright,1902.0,0.41106565361387104
2020-05,S2A_48NUG_20200505_0_L2A,pax_t4,stock_bright,1774.0,0.3384293384293384
2020-05,S2A_48NUG_20200505_0_L2A,airfield,stock_bright,1294.0,0.20716419123473598
2020-05,S2A_48NUG_20200525_0_L2A,west_cargo,stock_bright,1522.0,0.024242424242424242
2020-05,S2A_48NUG_20200525_0_L2A,east_cargo,stock_bright,1528.0,0.028964342217354267
2020-05,S2A_48NUG_20200525_0_L2A,pax_t123,stock_bright,1744.0,0.051743619715565944
2020-05,S2A_48NUG_20200525_0_L2A,pax_t4,stock_bright,1648.0,0.06788606788606788
2020-05,S2A_48NUG_20200525_0_L2A,airfield,stock_bright,1126.0,0.03668447894020359
2020-05,S2A_48NUG_20200525_0_L2A,west_cargo,pairdiff,,0.35
2020-05,S2A_48NUG_20200525_0_L2A,east_cargo,pairdiff,,0.38700255567725445
2020-05,S2A_48NUG_20200525_0_L2A,pax_t123,pairdiff,,0.41106565361387104
2020-05,S2A_48NUG_20200525_0_L2A,pax_t4,pairdiff,,0.3384293384293384
2020-05,S2A_48NUG_20200525_0_L2A,airfield,pairdiff,48035248.0,0.20716419123473598
2020-07,S2A_48NUG_20200704_0_L2A,west_cargo,stock_bright,1968.0,0.5811111111111111
2020-07,S2A_48NUG_20200704_0_L2A,east_cargo,stock_bright,2008.0,0.5296336862601922
2020-07,S2A_48NUG_20200704_0_L2A,pax_t123,stock_bright,2888.0,0.7495032144944477
2020-07,S2A_48NUG_20200704_0_L2A,pax_t4,stock_bright,1824.0,0.37965237965237963
2020-07,S2A_48NUG_20200704_0_L2A,airfield,stock_bright,1604.0,0.4016904728041124
2020-07,S2A_48NUG_20200704_1_L2A,west_cargo,stock_bright,2054.0,0.9281818181818182
2020-07,S2A_48NUG_20200704_1_L2A,east_cargo,stock_bright,2094.0,0.7927467445539734
2020-07,S2A_48NUG_20200704_1_L2A,pax_t123,stock_bright,3022.0,0.9481784531463082
2020-07,S2A_48NUG_20200704_1_L2A,pax_t4,stock_bright,1938.0,0.6798616798616799
2020-07,S2A_48NUG_20200704_1_L2A,airfield,stock_bright,1694.0,0.6282788467399476
2020-07,S2A_48NUG_20200704_1_L2A,west_cargo,pairdiff,,0.9281818181818182
2020-07,S2A_48NUG_20200704_1_L2A,east_cargo,pairdiff,,0.7927467445539734
2020-07,S2A_48NUG_20200704_1_L2A,pax_t123,pairdiff,,0.9481784531463082
2020-07,S2A_48NUG_20200704_1_L2A,pax_t4,pairdiff,,0.6798616798616799
2020-07,S2A_48NUG_20200704_1_L2A,airfield,pairdiff,,0.6282788467399476
2020-09,S2A_48NUG_20200902_0_L2A,west_cargo,stock_bright,6004.0,0.7450505050505051
2020-09,S2A_48NUG_20200902_0_L2A,east_cargo,stock_bright,2034.0,0.2872094438359499
2020-09,S2A_48NUG_20200902_0_L2A,pax_t123,stock_bright,2296.0,0.3553087862848237
2020-09,S2A_48NUG_20200902_0_L2A,pax_t4,stock_bright,1924.0,0.05405405405405406
2020-09,S2A_48NUG_20200902_0_L2A,airfield,stock_bright,1644.0,0.3449621065891867
2020-10,S2A_48NUG_20201002_0_L2A,west_cargo,stock_bright,2162.0,0.51010101010101
2020-10,S2A_48NUG_20201002_0_L2A,east_cargo,stock_bright,1750.0,0.28696604600219056
2020-10,S2A_48NUG_20201002_0_L2A,pax_t123,stock_bright,1940.0,0.27874537307617375
